"","G","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","E","OPS"
"338",84,177,23,38,2,2,0,44,11,3,3,16,2,31,5,1,0.536
"339",91,248,42,78,10,3,1,97,32,9,6,26,0,24,7,5,0.768
"340",122,341,50,86,14,1,3,111,54,2,8,54,2,59,14,11,0.674
"341",133,410,63,126,24,3,3,165,50,7,2,54,3,42,18,16,0.788
"342",137,416,69,129,27,3,7,183,78,8,4,57,5,52,8,10,0.829
"343",91,283,34,83,18,1,7,124,50,7,1,36,3,52,6,9,0.809
"344",131,402,78,125,20,0,16,193,75,6,2,52,4,77,12,12,0.87
"345",30,54,4,10,3,0,2,19,8,1,1,1,1,14,2,0,0.566
"346",13,39,7,5,1,0,1,9,1,0,0,4,0,9,0,2,0.44
"347",52,85,12,26,6,0,3,41,13,1,0,11,0,12,3,2,0.867
"348",48,153,24,36,8,0,7,65,22,4,1,22,2,39,6,2,0.76
"349",134,492,107,160,32,3,37,309,124,8,2,71,0,107,9,5,1.035
"350",144,544,110,185,34,2,35,328,115,4,1,81,7,123,8,8,1.032
"351",139,527,104,176,36,1,44,346,133,2,0,59,9,134,6,4,1.062
"352",125,500,118,154,27,1,31,276,98,25,9,96,1,71,7,11,0.972435510887772
"353",140,534,126,153,19,1,48,318,137,22,6,93,6,72,10,12,0.993609883380372
"354",128,465,72,129,12,7,0,155,22,50,14,57,17,100,11,1,0.70995670995671
"355",113,317,58,83,11,4,2,108,25,22,7,19,6,55,4,6,0.656483479993359
"356",133,424,90,125,16,7,4,167,36,41,10,44,4,65,11,2,0.760393348257115
"357",93,122,26,36,2,0,0,38,7,13,6,14,0,30,3,1,0.679122468659595
"358",86,300,57,94,21,4,4,135,31,29,8,24,2,56,7,13,0.813
"359",84,264,25,58,13,4,7,100,25,9,8,14,5,75,5,7,0.65
"360",55,125,12,20,5,1,3,36,3,7,2,5,0,33,1,0,0.48
"361",120,450,53,109,20,5,7,160,42,44,10,32,13,92,7,3,0.666
"362",113,387,49,101,17,1,5,135,30,22,8,13,8,69,4,4,0.647
"363",104,412,75,129,16,7,1,162,42,32,18,24,8,61,6,9,0.752
"364",109,435,77,135,30,5,7,196,51,34,7,28,6,56,7,6,0.807
"365",118,485,89,134,18,4,9,187,40,65,19,31,5,65,5,5,0.71
"366",86,321,58,100,12,3,6,136,40,25,10,27,7,38,4,2,0.797
"367",118,435,62,128,27,3,5,176,39,32,13,30,7,48,7,2,0.751
"368",47,168,24,51,9,4,0,68,28,23,3,15,4,18,4,1,0.777
"369",100,399,72,138,32,4,9,205,46,22,10,31,4,48,11,3,0.911
"370",98,333,66,109,23,2,18,190,62,8,2,23,12,58,10,0,0.954
"371",130,511,97,177,37,3,23,289,101,9,7,30,7,68,13,3,0.952
"372",122,440,78,136,39,2,12,215,70,9,2,31,4,59,17,5,0.848
"373",121,429,71,146,23,0,18,223,93,8,1,23,7,57,15,3,0.895
"374",47,74,7,12,2,0,2,20,8,0,1,6,0,17,0,2,0.487
"375",39,99,6,17,3,0,0,20,6,0,0,9,4,25,3,8,0.47
"376",34,52,8,14,5,0,2,25,6,0,0,2,1,17,2,1,0.79
"377",36,108,14,25,7,0,6,50,16,1,1,5,4,30,3,3,0.751
"378",62,146,10,33,8,0,2,47,12,0,1,5,3,30,3,4,0.585
"379",88,271,23,54,14,0,9,95,40,1,0,17,4,71,6,9,0.607
"380",56,117,8,18,2,0,3,29,12,0,0,6,1,35,0,5,0.446
"381",81,249,27,60,8,0,9,95,34,1,0,23,3,54,7,6,0.69
"382",64,151,16,37,4,0,7,62,26,0,3,17,2,19,3,4,0.737
"383",45,83,2,19,3,0,2,28,3,0,0,3,2,22,3,2,0.61
"384",135,345,43,97,16,1,19,172,49,1,2,34,6,55,9,11,0.854
"385",57,106,11,18,5,0,0,23,10,0,0,8,1,13,5,4,0.45
"386",37,48,9,13,2,0,0,15,3,1,0,7,0,9,1,0,0.67
"387",104,132,23,31,7,0,0,38,13,2,1,9,2,27,2,2,0.58
"388",81,91,16,26,5,0,3,40,9,2,2,10,0,16,3,0,0.793
"389",64,35,7,6,0,0,1,9,5,0,1,2,0,8,0,0,0.462
"390",47,34,4,5,0,0,0,5,0,0,1,5,0,15,2,1,0.403
"391",67,85,11,18,1,0,0,19,6,4,2,0,1,20,0,1,0.445
"392",28,39,9,11,1,0,2,18,8,1,0,1,0,11,0,0,0.762
"393",88,245,51,82,13,2,20,159,54,2,0,40,4,72,4,3,1.085
"394",105,298,25,76,11,0,7,108,34,2,1,41,2,103,13,11,0.709
"395",133,479,67,153,24,2,31,274,95,3,2,79,9,106,13,6,0.996
"396",129,473,76,153,26,1,23,250,106,2,1,70,6,99,11,7,0.941
"397",124,461,73,146,33,2,23,252,100,3,1,60,6,73,20,5,0.948
"398",124,423,66,123,27,0,13,189,73,2,0,82,2,89,18,3,0.852
"399",118,393,62,114,13,0,21,190,85,2,1,90,2,70,13,4,0.903
"400",115,410,81,133,27,1,31,255,92,2,0,64,5,67,8,3,1.039
"401",95,336,63,111,15,0,19,183,62,0,0,45,6,71,12,1,0.961
"402",126,416,61,151,24,0,16,223,80,3,1,81,11,69,11,2,1.01
"403",101,345,41,110,24,0,10,164,52,0,3,73,8,67,14,1,0.919
"404",118,422,66,154,30,0,18,238,84,0,2,70,11,73,18,3,1.027
"405",133,408,61,129,28,0,21,220,104,3,1,98,12,80,19,9,0.996
"406",144,529,94,193,39,0,23,301,136,1,0,108,9,97,11,4,1.044
"407",94,356,51,121,22,0,17,194,76,0,0,43,4,56,13,1,0.958
"408",73,254,25,80,11,0,10,121,34,0,1,13,4,56,7,2,0.834
"409",61,94,11,23,5,0,4,40,12,0,0,9,2,22,3,1,0.75
"410",124,383,44,102,16,0,23,187,73,0,1,50,11,78,9,1,0.85
"411",112,360,62,104,17,2,23,194,68,1,1,72,11,89,6,1,0.958
"412",116,370,62,98,13,0,15,156,62,7,6,86,13,99,9,2,0.84
"413",93,279,24,64,13,0,3,86,23,1,2,33,7,78,8,4,0.632
"414",89,186,26,48,8,0,7,77,39,0,0,24,3,51,10,1,0.764
"415",22,46,5,11,2,0,0,13,3,0,0,2,2,16,1,0,0.583
"416",46,90,14,28,5,0,4,45,7,0,0,9,1,24,2,1,0.88
"417",29,66,5,13,2,0,1,18,5,0,0,5,2,25,4,0,0.543
"418",20,31,5,11,0,0,1,14,3,1,2,3,0,5,0,3,0.864
"419",60,48,17,9,2,1,2,19,7,4,3,8,0,13,2,1,0.694
"420",140,511,89,148,35,5,19,250,73,22,4,56,5,115,10,21,0.851
"421",144,526,92,148,29,7,20,251,84,28,15,60,6,80,7,21,0.835
"422",141,526,90,159,36,3,23,270,114,16,8,58,8,65,8,18,0.889
"423",129,511,95,147,27,4,20,242,84,8,2,54,5,81,16,13,0.832
"424",76,123,17,32,5,3,3,52,20,2,2,13,6,20,1,1,0.782
"425",123,356,51,94,13,2,9,138,47,11,2,29,8,45,11,2,0.719
"426",141,513,77,154,26,2,11,217,71,22,9,54,10,70,13,0,0.798
"427",99,319,33,87,19,3,5,127,32,5,2,26,5,46,12,3,0.733
"428",126,470,83,168,34,5,9,239,89,13,8,80,5,40,12,1,0.963
"429",133,482,97,172,31,6,23,284,104,6,6,80,4,59,7,3,1.037
"430",132,473,88,150,29,0,24,251,89,4,8,78,6,64,9,3,0.945
"431",130,475,71,143,25,2,13,211,91,5,3,71,6,63,15,7,0.836
"432",122,437,47,127,17,1,7,167,65,6,3,46,3,50,9,4,0.74
"433",122,434,63,131,23,1,16,204,90,2,4,62,2,71,6,2,0.852
"434",125,463,75,149,26,0,17,226,90,2,0,53,7,45,10,1,0.884
"435",141,512,103,167,26,0,28,277,121,11,5,101,8,63,13,1,0.979
"436",117,453,95,164,39,2,20,267,101,1,3,47,1,61,9,5,1.004
"437",60,81,6,13,1,0,0,14,2,0,0,7,1,32,3,5,0.409
"438",136,430,79,116,15,6,5,158,45,31,6,33,5,119,6,16,0.695
"439",37,49,5,7,3,0,2,16,6,0,0,5,3,19,2,0,0.586
"440",59,140,21,33,8,1,6,61,18,0,0,14,4,45,4,4,0.757
"441",83,225,36,47,10,2,16,109,35,2,4,28,10,58,4,7,0.805
"442",28,45,12,9,0,0,1,12,8,0,0,9,2,17,1,1,0.612
"443",54,85,10,20,4,0,3,33,13,0,0,13,2,24,3,1,0.731
"444",58,85,15,22,5,0,4,39,17,1,0,11,3,26,3,0,0.823
"445",35,56,13,13,2,0,0,15,3,3,3,8,0,18,0,1,0.591
"446",97,117,37,30,5,2,1,42,11,20,3,7,2,37,1,0,0.666
"447",87,57,23,15,2,0,0,17,1,12,4,10,3,21,0,0,0.698
"448",104,404,55,98,18,5,14,168,64,12,2,33,15,95,7,3,0.735
"449",123,477,88,157,28,5,30,285,101,14,5,42,15,128,4,3,0.997
"450",144,564,112,184,34,5,28,312,135,23,4,32,15,127,9,6,0.926
"451",144,572,116,177,37,2,22,284,113,7,4,67,9,136,4,8,0.885
"452",125,498,103,173,42,2,24,291,99,17,7,48,12,116,8,8,0.999
"453",144,556,110,177,36,3,23,288,91,15,2,44,15,131,11,3,0.899
"454",27,38,4,9,3,0,2,18,7,0,0,4,0,15,1,1,0.783208020050125
"455",40,73,7,20,2,0,3,31,9,0,0,4,2,29,2,0,0.753771458297208
"456",106,177,15,22,3,0,2,31,11,0,0,12,5,85,2,4,0.376
"457",96,99,21,15,1,2,0,20,3,1,0,12,3,29,5,10,0.465
"458",64,59,14,18,6,0,1,27,9,1,1,3,0,13,0,1,0.791
"459",99,174,21,47,9,0,1,59,19,8,3,10,4,36,5,4,0.66
"460",114,233,20,54,8,2,3,75,30,2,7,18,6,37,4,13,0.621
"461",117,284,30,69,13,2,2,92,27,3,4,22,4,42,6,15,0.625
"462",118,361,43,89,16,3,3,120,46,14,5,26,6,64,12,17,0.635
"463",118,382,60,110,13,0,15,168,65,21,9,41,7,74,8,15,0.804
"464",100,305,49,82,13,2,7,120,42,14,6,25,5,74,3,13,0.725
"465",127,422,64,115,25,0,7,161,51,10,3,36,3,101,8,10,0.714
"466",96,246,31,66,15,0,5,96,22,3,5,12,2,47,9,7,0.697
"467",24,57,13,22,2,0,5,39,12,0,4,2,3,6,4,2,1.119
"468",122,419,69,122,24,1,19,205,65,0,3,19,5,85,15,7,0.818
"469",119,362,54,95,24,0,12,155,56,5,6,38,5,66,2,13,0.767
"470",73,200,25,59,12,1,6,91,30,1,2,28,6,44,2,0,0.846
"471",128,384,58,101,12,0,23,182,73,4,1,58,8,90,9,1,0.842
"472",109,316,42,68,11,0,15,124,53,3,2,45,18,82,9,0,0.735
"473",85,291,41,88,9,0,18,151,66,0,1,35,4,63,4,0,0.903
"474",124,398,40,109,17,1,11,161,56,7,3,56,13,93,9,0,0.782
"475",125,435,57,125,18,0,21,206,96,7,3,62,18,111,12,4,0.868
"476",118,398,64,124,22,0,19,203,79,3,3,54,12,97,9,0,0.914
"477",116,304,34,77,16,0,7,114,31,3,1,46,16,79,10,1,0.753
"478",118,380,84,117,21,2,25,217,90,6,3,85,17,90,8,1,1.022
"479",137,459,85,138,20,3,27,245,94,1,1,62,23,105,10,1,0.939
"480",114,317,50,86,18,0,26,182,78,0,0,38,19,81,14,0,0.951
"481",16,44,2,9,3,0,0,12,2,1,0,3,0,18,3,4,0.523
"482",31,60,8,15,1,0,2,22,11,0,0,6,1,20,0,2,0.691
"483",77,207,43,64,4,2,4,84,30,12,2,20,1,46,0,1,0.779
"484",131,382,72,109,18,3,6,151,39,16,9,25,9,84,3,5,0.735
"485",135,515,93,161,21,8,8,222,53,25,4,48,13,86,3,2,0.814
"486",117,327,32,73,19,2,3,105,27,1,3,26,1,83,5,10,0.603
"487",65,38,4,3,2,0,0,5,2,0,0,2,0,11,0,1,0.254
"488",125,420,52,119,21,4,11,181,42,4,3,33,2,92,8,15,0.768
"489",129,417,65,123,33,1,16,206,70,1,0,70,5,72,8,4,0.896443820553313
"490",20,50,5,7,2,0,1,12,2,0,0,7,0,16,3,0,0.485614035087719
"491",32,47,3,9,1,0,1,13,4,0,0,4,0,7,2,3,0.532
"492",26,35,5,8,0,0,1,11,5,0,0,5,2,5,0,1,0.671
"493",134,515,90,162,38,0,31,293,124,2,2,60,12,107,14,7,0.965
"494",137,506,97,167,32,4,33,306,125,5,3,65,18,107,17,6,1.024
"495",102,359,58,87,19,0,31,199,64,1,1,50,6,116,6,7,0.898
"496",141,528,102,167,19,0,43,315,107,10,5,72,10,123,7,11,1.001
"497",76,265,30,67,16,0,12,119,50,2,0,29,4,48,9,8,0.784627073572243
"498",127,492,78,158,31,2,33,292,120,1,3,33,4,90,16,6,0.962115972766533
"499",119,445,100,151,30,1,37,294,111,10,5,50,10,61,12,10,1.07849593948159
"500",79,216,30,66,18,0,2,90,22,2,0,29,1,22,7,3,0.806910569105691
"501",83,336,52,101,27,3,18,188,56,5,8,23,5,81,6,3,0.911
"502",144,564,114,172,30,1,43,333,114,18,13,71,7,142,10,3,0.978
"503",90,118,34,34,5,0,3,48,9,3,2,10,3,28,0,2,0.763
"504",125,297,60,77,13,4,3,107,26,7,5,21,4,55,2,15,0.677
"505",128,228,52,61,7,0,1,71,29,7,2,29,10,43,3,4,0.683
"506",32,74,7,14,3,0,4,29,11,0,0,10,0,29,2,0,0.677606177606178
"507",91,130,30,29,5,0,1,37,20,10,7,12,0,38,1,4,0.572
"508",92,114,31,27,5,2,4,48,17,5,7,9,1,29,4,4,0.719
"509",65,60,14,11,2,0,1,16,2,5,3,5,0,15,4,0,0.513
"510",15,32,7,8,2,0,1,13,2,2,1,2,0,7,0,1,0.7
"511",108,395,57,109,24,3,12,175,51,16,3,37,1,68,11,11,0.782
"512",122,419,62,110,15,0,16,173,72,14,3,37,0,82,13,10,0.733
"513",103,214,23,62,14,0,6,94,35,5,0,18,0,52,5,6,0.779
"514",63,133,16,44,8,0,5,67,20,3,2,9,1,24,7,3,0.874
"515",136,474,64,148,25,3,17,230,90,9,6,39,2,81,6,6,0.846
"516",81,287,38,80,10,1,17,143,62,2,3,21,2,51,10,9,0.826
"517",17,40,5,8,5,0,0,13,1,0,0,1,2,13,0,1,0.581
"518",80,173,18,41,8,0,3,58,16,2,1,15,4,40,3,10,0.643
"519",125,327,40,79,13,3,2,104,39,5,2,28,7,60,4,16,0.63
"520",105,244,17,50,10,0,0,60,17,0,2,13,4,50,3,13,0.501
"521",79,101,10,24,2,0,0,26,6,2,0,11,0,23,1,8,0.564
"522",77,235,33,66,16,0,2,88,27,5,2,26,0,30,7,7,0.724
"523",105,265,24,65,12,1,2,85,25,4,2,14,1,39,6,11,0.604
"524",120,316,38,86,10,0,4,108,40,2,3,29,1,39,10,7,0.675
"525",110,304,38,82,15,2,6,119,42,2,1,10,2,42,10,7,0.686
"526",122,316,42,87,19,1,6,126,41,3,1,18,0,45,9,13,0.708
"527",25,65,4,15,4,0,0,19,3,0,0,4,1,13,0,0,0.578021978021978
"528",69,256,41,78,19,0,4,109,28,2,2,25,4,43,1,2,0.801219846491228
"529",122,324,46,92,24,4,6,142,43,5,3,33,2,54,10,4,0.792032050620723
"530",63,119,22,28,10,0,2,44,22,1,1,12,3,30,1,1,0.690643421547724
"531",80,61,20,12,0,1,0,14,4,17,3,2,0,16,1,1,0.449
"532",119,328,53,80,14,3,3,109,31,30,9,28,5,56,5,0,0.64
"533",87,93,26,18,0,1,0,20,0,18,6,6,1,18,2,0,0.465
"534",115,261,49,67,14,0,5,96,28,18,5,17,6,54,7,1,0.681
"535",64,70,23,20,2,1,0,24,4,11,4,9,0,14,0,0,0.71
"536",119,383,71,122,21,7,9,184,65,27,8,40,7,62,7,1,0.867
"537",124,470,85,162,31,3,12,235,79,16,8,37,6,63,11,0,0.895
"538",129,491,80,149,20,2,12,209,75,7,3,50,8,74,15,4,0.799
"539",134,511,98,166,31,4,16,253,87,9,2,48,15,91,18,0,0.891
"540",123,447,73,136,21,0,14,199,71,3,4,47,19,74,14,4,0.834
"541",118,443,74,141,21,0,17,213,66,8,3,35,8,68,10,1,0.855
"542",34,48,12,13,1,0,1,17,7,2,3,1,1,11,4,0,0.654
"543",47,61,7,11,4,1,0,17,3,1,0,4,0,13,0,2,0.51
"544",70,158,31,54,12,0,5,81,26,2,1,12,3,29,2,2,0.912
"545",132,484,95,162,36,4,20,266,83,17,6,38,9,86,9,3,0.94
"546",131,483,91,177,40,2,20,281,78,20,3,41,10,64,15,4,1.006
"547",125,488,79,159,24,6,12,231,84,7,3,28,10,65,14,1,0.846
"548",84,172,14,47,10,2,1,64,19,2,2,17,4,38,1,15,0.723
"549",92,328,50,88,15,0,6,121,33,7,6,40,13,72,6,8,0.736
"550",35,105,13,18,2,0,2,26,7,1,0,18,3,32,1,4,0.555
"551",107,329,32,69,6,2,6,97,28,5,2,36,4,72,6,9,0.588
"552",115,248,32,59,8,3,3,82,19,10,3,33,5,42,9,5,0.669
"553",116,367,46,95,11,1,8,132,43,6,5,37,7,65,13,11,0.69
"554",106,269,45,64,12,0,8,100,31,6,4,54,7,55,5,10,0.749
"555",80,231,33,60,21,0,3,90,21,10,2,30,16,52,3,6,0.771
"556",111,317,36,72,11,1,4,97,26,10,8,48,7,66,7,17,0.644
"557",87,162,33,37,6,1,2,51,19,7,1,25,5,33,6,10,0.659
"558",137,440,75,125,30,1,22,223,73,6,4,74,13,115,8,6,0.906
"559",121,402,64,126,22,1,20,210,80,3,1,65,5,80,9,13,0.934
"560",131,442,62,116,27,1,15,190,66,1,2,57,6,118,14,6,0.782
"561",135,458,65,120,21,0,25,216,74,4,1,58,9,129,16,14,0.826
"562",62,129,23,44,9,0,0,53,13,7,3,8,0,24,2,6,0.790414756973915
"563",97,264,27,61,2,0,0,63,21,10,8,20,4,45,1,10,0.533775252525253
"564",60,63,5,12,7,1,1,24,1,0,0,2,0,18,3,1,0.596
"565",38,34,4,8,0,0,0,8,3,0,0,4,0,11,0,1,0.551083591331269
"566",56,136,20,37,2,0,4,51,16,0,1,19,2,36,2,4,0.744426751592357
"567",74,152,19,37,2,0,4,51,15,0,0,14,0,29,1,6,0.642755231452124
"568",104,68,16,12,5,0,0,17,3,2,0,13,0,14,3,6,0.558641975308642
"569",76,147,26,40,6,0,3,55,24,3,3,18,3,27,1,5,0.737244897959184
"570",85,152,23,34,9,0,3,52,16,4,2,20,4,31,7,2,0.671650717703349
"571",99,225,28,57,16,0,2,79,25,1,0,27,5,34,1,4,0.697414613056636
"572",91,174,35,50,11,0,4,73,21,2,0,25,2,28,4,8,0.802624806999485
"573",90,171,21,49,9,0,3,67,21,2,5,22,2,25,5,5,0.76617183985605
"574",51,69,8,14,3,0,0,17,3,1,1,21,0,19,3,1,0.635265700483092
"575",47,56,10,8,3,0,1,14,7,2,1,3,0,11,1,3,0.433
"576",66,136,15,33,6,0,0,39,8,6,2,9,0,38,6,10,0.577
"577",95,281,34,69,10,2,4,95,32,7,4,20,2,42,9,16,0.636
"578",131,340,35,69,7,2,6,98,35,11,4,30,3,75,8,13,0.561
"579",114,335,44,93,13,3,3,121,27,8,3,36,1,61,5,19,0.71
"580",117,310,26,78,14,0,0,92,25,8,8,33,3,53,7,5,0.626
"581",108,266,26,59,8,1,1,72,24,5,4,34,3,44,5,11,0.584
"582",113,351,47,102,13,1,1,120,36,16,7,40,2,47,6,18,0.706
"583",109,299,32,65,10,1,0,77,21,7,6,28,1,61,13,16,0.541
"584",48,153,10,33,3,0,0,36,13,2,0,6,1,18,5,10,0.483
"585",31,60,4,12,2,0,0,14,9,1,3,9,0,11,3,3,0.537
"586",22,51,8,8,2,0,0,10,2,0,1,10,0,11,1,2,0.491
"587",126,300,27,84,13,1,1,102,30,3,0,30,3,84,10,8,0.69
"588",117,308,36,84,13,0,2,103,34,0,2,27,1,53,8,13,0.665
"589",97,235,22,56,11,1,2,75,18,2,1,16,2,51,9,9,0.608
"590",98,173,17,37,6,0,1,46,15,1,0,13,2,50,8,4,0.538
"591",46,93,8,21,3,0,5,39,14,1,0,5,1,33,1,1,0.69208211143695
"592",21,37,3,7,3,0,1,13,2,0,0,1,1,16,1,1,0.582120582120582
"593",37,72,10,18,3,0,2,27,11,1,0,6,1,16,1,5,0.691455696202532
"594",19,41,1,7,1,0,0,8,2,0,0,6,0,13,1,1,0.471717695900363
"595",27,64,4,14,4,0,0,18,7,1,0,2,0,23,2,0,0.523674242424242
"596",69,98,5,19,6,0,1,28,6,1,0,7,1,28,6,6,0.541
"597",76,174,32,44,7,2,6,73,26,0,0,13,5,41,7,7,0.741
"598",127,379,47,101,12,1,14,157,61,0,0,37,9,93,4,10,0.753
"599",127,411,44,102,25,1,14,171,70,3,1,27,7,93,18,7,0.72
"600",103,256,33,69,9,0,11,111,39,2,1,17,3,56,9,8,0.754
"601",39,117,19,29,3,0,6,50,17,0,0,9,0,25,3,2,0.729
"602",32,41,10,11,1,0,0,12,6,9,2,5,0,6,3,3,0.633
"603",118,416,87,124,21,9,1,166,40,50,10,56,11,89,5,10,0.791
"604",141,520,111,158,31,6,3,210,47,46,16,73,14,108,4,11,0.803
"605",121,435,84,149,16,6,3,186,55,20,6,55,8,70,9,14,0.848
"606",106,388,84,141,25,4,3,183,47,11,1,46,11,51,8,7,0.913
"607",115,411,68,133,22,5,5,180,33,17,5,32,10,51,4,8,0.821
"608",79,163,22,31,11,0,3,51,21,1,0,12,6,48,3,3,0.578
"609",48,130,7,21,2,0,5,38,13,1,3,9,2,42,4,3,0.519
"610",68,188,28,41,7,0,9,75,25,2,1,20,4,70,3,1,0.704
"611",78,160,25,30,4,0,7,55,22,5,1,26,2,55,5,0,0.649
"612",66,201,31,51,11,2,13,105,31,2,0,26,2,76,5,5,0.865
"613",133,469,76,136,34,0,31,263,105,20,9,73,11,111,6,7,0.954
"614",128,450,91,143,17,0,37,271,117,10,2,92,8,96,7,5,1.039
"615",128,459,126,139,16,2,52,315,124,8,3,96,12,142,13,4,1.119
"616",140,528,129,181,35,1,53,377,146,10,3,78,12,161,10,12,1.15
"617",113,400,88,138,20,0,43,287,112,0,1,68,17,114,9,11,1.175
"618",52,81,7,16,3,1,0,21,4,1,0,7,3,13,3,3,0.542
"619",126,416,65,116,27,1,14,187,64,2,3,61,12,84,15,18,0.835
"620",97,295,63,84,17,0,24,173,62,0,0,54,17,66,5,6,1.002
"621",112,356,58,108,18,0,15,171,64,3,2,76,15,84,14,7,0.92
"622",128,457,74,127,24,3,15,202,86,3,1,59,13,105,13,13,0.816
"623",127,443,79,138,19,3,23,232,91,2,3,72,27,83,8,12,0.957
"624",117,396,61,126,24,0,18,204,76,4,2,54,21,73,13,10,0.94
"625",110,356,77,112,21,0,27,214,72,0,1,54,12,62,12,12,1.02
"626",135,448,90,144,25,0,26,247,116,3,0,83,19,97,13,14,0.992
"627",126,427,77,131,20,0,32,247,104,2,0,56,16,95,18,15,0.982
"628",101,319,43,78,15,0,14,135,56,1,2,50,13,92,17,9,0.792
"629",103,318,40,81,14,1,16,145,55,1,0,39,15,80,11,4,0.816
"630",87,172,26,36,5,1,5,58,23,2,2,22,2,45,1,2,0.639
"631",97,201,41,57,8,0,5,80,26,2,1,19,5,44,1,2,0.752
"632",89,170,37,48,12,0,3,69,22,5,0,16,4,55,0,2,0.762
"633",36,87,19,24,4,1,3,39,13,2,1,9,2,28,0,2,0.802
"634",73,158,25,32,3,2,3,48,11,0,4,16,4,57,1,11,0.595
"635",51,65,11,20,3,0,0,23,9,4,1,10,2,16,1,3,0.77
"636",67,33,9,5,1,0,0,6,0,4,2,4,1,9,1,1,0.444976076555024
"637",93,157,20,31,5,1,1,41,5,9,4,14,4,31,5,4,0.541146496815287
"638",101,127,33,27,5,2,1,39,9,19,6,15,4,29,1,5,0.622155107323913
"639",53,99,17,26,2,2,2,38,19,8,2,7,2,20,2,2,0.707912457912458
"640",27,76,7,20,6,0,0,26,4,5,2,7,0,15,4,5,0.667406467977172
"641",31,74,5,17,4,1,1,26,6,0,1,11,0,14,1,1,0.680763116057234
"642",112,375,68,108,28,6,9,175,55,20,5,38,6,109,11,0,0.826
"643",133,494,68,127,21,6,11,193,51,42,12,40,9,83,7,2,0.712
"644",109,393,51,118,15,2,16,185,58,10,4,32,3,68,4,3,0.828
"645",126,472,90,132,25,1,15,204,71,43,7,43,5,98,9,1,0.776
"646",126,476,69,140,26,3,16,220,64,25,3,50,2,93,7,2,0.823
"647",126,479,69,133,24,4,14,207,66,20,2,43,1,83,7,3,0.767
"648",96,334,39,86,12,2,2,108,32,16,6,34,1,55,5,0,0.648
"649",111,452,91,168,31,5,18,263,74,22,3,36,6,63,15,3,0.999
"650",107,370,62,111,21,0,9,159,45,19,4,38,5,64,6,0,0.802
"651",115,414,57,125,21,1,15,193,64,13,3,26,5,71,8,1,0.813
"652",127,499,82,152,34,3,11,225,76,30,8,42,7,66,9,0,0.813
"653",125,476,79,156,22,4,7,207,67,13,8,52,4,71,5,0,0.828
"654",124,464,71,159,24,2,9,214,73,11,9,75,1,65,15,1,0.891
"655",128,487,66,159,28,2,18,245,83,11,4,34,4,73,12,2,0.873
"656",138,509,84,176,24,0,11,233,90,6,6,58,4,71,13,0,0.87
"657",138,509,83,175,23,2,14,244,90,4,2,72,6,88,13,0,0.903
"658",134,524,89,159,38,1,15,244,76,3,3,47,5,107,21,0,0.828
"659",100,208,26,46,12,2,4,74,25,2,1,15,2,50,5,5,0.636
"660",56,127,15,33,4,1,3,48,20,0,0,11,0,23,3,3,0.697
"661",131,446,70,123,27,0,25,225,76,5,4,51,4,91,8,7,0.858
"662",124,431,76,132,19,4,18,213,76,17,5,63,5,89,7,2,0.892
"663",122,453,54,114,21,2,13,178,53,9,3,42,3,103,9,4,0.71
"664",122,416,61,106,18,1,12,162,59,4,6,43,4,80,7,4,0.717
"665",110,363,56,106,20,1,18,182,70,4,4,64,1,79,5,2,0.895
"666",120,452,81,140,33,2,27,258,109,7,9,41,2,106,6,5,0.938
"667",124,438,66,123,23,0,21,209,70,3,3,46,4,119,9,8,0.83
"668",125,422,59,117,17,3,18,194,59,4,0,35,5,99,7,6,0.797
"669",118,305,37,78,14,1,16,142,51,1,1,30,5,78,4,7,0.794
"670",98,223,45,69,5,3,4,92,26,16,9,30,3,52,5,3,0.808
"671",81,140,26,34,4,1,2,46,15,3,4,9,8,39,0,3,0.652
"672",10,33,4,7,2,0,0,9,1,2,1,0,1,9,0,0,0.508
"673",54,50,9,7,1,0,0,8,3,3,0,6,2,16,1,0,0.414
"674",51,39,1,6,2,0,0,8,2,1,1,2,0,10,1,0,0.395
"675",29,33,4,5,1,0,0,6,0,1,0,1,0,12,1,5,0.358288770053476
"676",86,157,26,38,10,3,3,63,18,5,1,11,6,37,2,8,0.717365839373307
"677",68,82,9,16,2,1,0,20,5,4,2,4,0,25,0,4,0.476460578559274
"678",67,58,5,14,1,0,0,15,3,1,1,1,0,18,0,2,0.512857977790766
"679",75,61,10,13,2,0,1,18,8,0,0,6,0,14,0,1,0.578664056765354
"680",40,62,6,13,1,1,0,16,2,1,0,4,1,18,0,3,0.526721232546943
"681",22,49,4,6,2,0,0,8,1,1,0,3,1,10,1,3,0.351944551405468
"682",87,182,21,50,9,3,2,71,12,5,1,11,1,33,2,4,0.709697518975869
"683",79,124,15,37,6,1,2,51,32,2,0,13,2,23,5,3,0.785391042005106
"684",74,99,9,23,9,1,0,34,13,0,0,14,1,24,1,2,0.676767676767677
"685",32,42,6,11,0,0,0,11,2,2,0,8,5,18,1,1,0.698
"686",51,66,15,11,2,1,0,15,4,2,1,13,6,20,0,1,0.58
"687",85,123,32,28,5,1,5,50,24,0,2,13,9,37,1,2,0.752
"688",102,171,22,35,8,1,0,45,12,5,3,10,3,49,1,2,0.522
"689",26,47,6,8,2,0,1,13,5,2,0,3,0,17,2,2,0.493
